UMGS_ID	MAG_ID	Phylum	Class	Order	Family	Genus
UMGS956	ERR1620349_bin.29	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces
UMGS957	SRR2992898_bin.30	Tenericutes	NA	NA	NA	NA
UMGS958	ERR1018194_bin.15	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Veillonella
UMGS959	ERR525720_bin.35	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
UMGS960	ERR525751_bin.24	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridium
UMGS961	SRR5057100_bin.26	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Butyricicoccus
UMGS962	ERR589532_bin.55	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
UMGS963	SRR4305041_bin.1	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
UMGS964	ERR1190926_bin.80	Firmicutes	Clostridia	Clostridiales	NA	NA
UMGS965	SRR1761711_bin.31	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium
UMGS966	ERR1620276_bin.17	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	NA
UMGS967	SRR6028499_bin.9	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia
UMGS968	ERR525795_bin.39	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	NA
UMGS969	SRR769513_bin.8	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
UMGS970	SRR5963229_bin.4	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Pantoea
UMGS971	ERR1620373_bin.39	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Butyricimonas
UMGS972	ERR526043_bin.9	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
UMGS973	ERR688517_bin.43	Firmicutes	Clostridia	Clostridiales	NA	NA
UMGS974	SRR1761713_bin.28	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	NA
UMGS975	SRR3993029_bin.46	Firmicutes	Clostridia	Clostridiales	NA	NA
UMGS976	ERR525995_bin.29	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	NA
UMGS977	SRR3917648_bin.16	Firmicutes	Clostridia	Clostridiales	NA	NA
UMGS978	SRR6028239_bin.19	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
UMGS979	ERR589512_bin.27	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	NA
UMGS980	SRR4305432_bin.10	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
UMGS981	SRR5057067_bin.76	Tenericutes	NA	NA	NA	NA
UMGS982	ERR1293605_bin.10	Verrucomicrobia	Opitutae	Opitutales	NA	NA
UMGS983	ERR414332_bin.31	Firmicutes	Negativicutes	Selenomonadales	Acidaminococcaceae	Phascolarctobacterium
UMGS984	SRR5558411_bin.94	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Parabacteroides
UMGS985	ERR414362_bin.39	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Dorea
UMGS986	SRR3993004_bin.27	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Oribacterium
UMGS987	ERR209469_bin.15	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium
UMGS988	ERR1018239_bin.2	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
UMGS989	SRR4305460_bin.4	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
UMGS990	SRR5963000_bin.4	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridium
UMGS991	ERR1620299_bin.39	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	NA
UMGS992	ERR2013565_bin.71	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus
UMGS993	ERR1190846_bin.16	Firmicutes	Clostridia	Clostridiales	NA	NA
UMGS994	SRR5279281_bin.23	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
UMGS995	ERR589527_bin.31	Tenericutes	NA	NA	NA	NA
UMGS996	SRR5127579_bin.15	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
UMGS997	ERR526056_bin.6	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia
UMGS998	ERR1620304_bin.12	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio
UMGS999	SRR4033063_bin.65	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	NA
UMGS1001	ERR525931_bin.39	NA	NA	NA	NA	NA
UMGS1002	ERR414279_bin.59	Firmicutes	Clostridia	Clostridiales	NA	NA
UMGS1003	ERR525813_bin.62	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
UMGS1004	SRR6054459_bin.11	Firmicutes	Clostridia	Clostridiales	NA	NA
UMGS1005	SRR4408017_bin.22	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Parabacteroides
UMGS1006	SRR5963300_bin.9	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridium
UMGS1007	ERR011213_bin.5	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
UMGS1008	ERR1620332_bin.4	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	NA
UMGS1009	SRR5127527_bin.11	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
UMGS1010	ERR1620314_bin.17	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia
UMGS1011	ERR414329_bin.39	Firmicutes	Clostridia	Clostridiales	NA	NA
UMGS1012	ERR1912949_bin.6	Firmicutes	Clostridia	Clostridiales	NA	NA
UMGS1013	SRR4408065_bin.1	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
